method,seed,status,run_id,summary_path,raw_prediction_path,selected_epoch,val_expected_count_mae,roc_auc,count_mae
genbags,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_genbags_s2_0034340aae2c_88cef899_20260727T043801Z,results/rebuttal/4090_criteo_extra_baselines/genbags_s2.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_genbags_s2_0034340aae2c_88cef899_20260727T043801Z/raw_test_probs_labels.pt,12,5.212320804595947,0.746344442026407,4.834142684936523
ot_llp,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_ot_llp_s0_fc15de530b47_88cef899_20260727T043652Z,results/rebuttal/4090_criteo_extra_baselines/ot_llp_s0.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_ot_llp_s0_fc15de530b47_88cef899_20260727T043652Z/raw_test_probs_labels.pt,11,6.034106254577637,0.6549737677503329,5.773024559020996
ot_llp,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_ot_llp_s1_1e2d038faad2_88cef899_20260727T043729Z,results/rebuttal/4090_criteo_extra_baselines/ot_llp_s1.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_ot_llp_s1_1e2d038faad2_88cef899_20260727T043729Z/raw_test_probs_labels.pt,10,6.080850124359131,0.6495329610699996,5.900482654571533
ot_llp,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_ot_llp_s2_82a9a8f9d2da_88cef899_20260727T043805Z,results/rebuttal/4090_criteo_extra_baselines/ot_llp_s2.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_ot_llp_s2_82a9a8f9d2da_88cef899_20260727T043805Z/raw_test_probs_labels.pt,9,6.117215633392334,0.652823983369225,5.783300876617432
fsconv,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_fsconv_s0_dcdb2cd30373_c046977d_20260727T000952Z,results/rebuttal/4090_criteo_strictv1/fsconv_s0.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_fsconv_s0_dcdb2cd30373_c046977d_20260727T000952Z/raw_test_probs_labels.pt,11,4.844912528991699,0.7493359736734793,4.5730366706848145
fsconv,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_fsconv_s1_f7974758c3ec_c046977d_20260727T001534Z,results/rebuttal/4090_criteo_strictv1/fsconv_s1.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_fsconv_s1_f7974758c3ec_c046977d_20260727T001534Z/raw_test_probs_labels.pt,11,4.832439422607422,0.7492909892696176,4.614861488342285
fsconv,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_fsconv_s2_e83c856539b6_c046977d_20260727T002146Z,results/rebuttal/4090_criteo_strictv1/fsconv_s2.json,results/rebuttal/4090_criteo_strictv1/runs/criteo_x1_c4_c11_k128_strictv1_fsconv_s2_e83c856539b6_c046977d_20260727T002146Z/raw_test_probs_labels.pt,11,5.163938999176025,0.7485862840482151,4.726441383361816
supervised_oracle,0,COMPLETED,criteo_x1_c4_c11_k128_strictv1_supervised_oracle_s0_2e46e9fc4dd9_88cef899_20260727T043652Z,results/rebuttal/4090_criteo_extra_baselines/supervised_oracle_s0.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_supervised_oracle_s0_2e46e9fc4dd9_88cef899_20260727T043652Z/raw_test_probs_labels.pt,10,5.053549766540527,0.7891709042752979,4.89543342590332
supervised_oracle,1,COMPLETED,criteo_x1_c4_c11_k128_strictv1_supervised_oracle_s1_d37e818f4250_88cef899_20260727T043720Z,results/rebuttal/4090_criteo_extra_baselines/supervised_oracle_s1.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_supervised_oracle_s1_d37e818f4250_88cef899_20260727T043720Z/raw_test_probs_labels.pt,10,4.838780879974365,0.7869244353077546,4.78922176361084
supervised_oracle,2,COMPLETED,criteo_x1_c4_c11_k128_strictv1_supervised_oracle_s2_6353b617cfcd_88cef899_20260727T043749Z,results/rebuttal/4090_criteo_extra_baselines/supervised_oracle_s2.json,results/rebuttal/4090_criteo_extra_baselines/runs/criteo_x1_c4_c11_k128_strictv1_supervised_oracle_s2_6353b617cfcd_88cef899_20260727T043749Z/raw_test_probs_labels.pt,9,5.056219577789307,0.7883761976477334,4.7130913734436035
